Max,Int,"Vol energy density, W / mm3",Relative density
1.6187037177989185,1.5877847907525477,1.2751340054645042,1
1.5372101839618715,1.3885839921691825,1.2751340054645042,1
1.569424637638864,1.4423874519080142,1.2751340054645042,1
1.6355278589799718,1.5675015624443498,1.2751340054645042,1
1.5728585065748766,1.4824239979322604,1.2751340054645042,1
1.5536925480039285,1.5295759363031445,1.2751340054645042,1
0.9395170950416857,0.8439460443777086,0.7969587534153151,1
0.8751792533115866,0.7766552380281402,0.750078826743826,1
0.7753833771217422,0.6823440116800586,0.7084077808136134,1
0.7234332181159779,0.6405428323589615,0.6711231607707917,1
0.6750363099848078,0.5936272737787962,0.6375670027322521,1
3.1454472736188124,3.3673106234467154,2.5502680109290083,1
2.3472692291796546,2.849332160025455,2.1252233424408407,1
2.2001453918349982,2.150283671817229,1.8216200078064346,1
2.0349818593980444,1.993625654929934,1.5939175068306302,1
1.7085492828747875,1.605872614125589,1.4168155616272269,1
1.8099338453315905,1.6594920467146315,1.4026474060109546,1
2.0915793212751224,1.9854555783685315,1.5301608065574053,1
2.20035501211414,2.0635416426558195,1.6554371299012862,1
1.9824508765527644,1.8567371165559252,1.6554371299012862,1
0.5031542057123962,0.6024970514924624,0.5100536021858018,0
0.644340202506511,0.7113112420441086,0.6375670027322521,0
0.7642237187201043,0.8051890885022804,0.7650804032787026,1
0.9762919241815365,0.9661282270108155,0.8925938038251531,1
1.1499381320619009,1.1859862988918948,1.0201072043716035,1
1.4074371721512426,1.306842023544697,1.147620604918054,1
0.8260607005921903,0.7840324519633717,0.7969587534153152,1
0.7761546621064636,0.7091916918715249,0.750078826743826,1
0.7275499229786322,0.6840623284052556,0.7084077808136134,1
0.7227386613097525,0.6791024087419538,0.6711231607707917,1
0.6094362047165248,0.5663294750150685,0.6375670027322521,1
3.0069101967100393,3.5304754193098304,2.5502680109290083,1
2.656860613771106,2.7113141858782166,2.1252233424408407,1
2.376999278621068,2.2950760347570967,1.8216200078064346,1
2.2048387404478857,2.1297851934514607,1.5939175068306304,1
1.9038523062315706,1.8702664102478448,1.4168155616272269,1
0.39595094419380894,0.3553996306796497,0.41385928247532155,0
0.4255154455302786,0.40529985357772513,0.3825402016393513,0
1.913415870093184,1.714690682250104,1.6554371299012862,1
1.5465359086687773,1.3930490704413758,1.2751340054645042,1
1.7247981112743282,1.5823850279618845,1.6554371299012862,1
2.6548070016791465,2.9920590258245223,2.5502680109290083,1
0.6549264867158713,0.7136750232505896,0.7650804032787026,1
0.6505975316166448,0.691301845109215,0.7650804032787026,1
2.4921473722995358,4.168871442607937,3.0603216131148105,1
0.6991012960094569,0.6083641759808718,0.6375670027322521,1
0.3066690328812294,0.26680167400840005,0.31878350136612604,0
1.6734094626705116,2.0825074601061813,1.5301608065574053,1
0.9202027916212964,1.0124587976121127,0.7650804032787026,1
1.5463809977202587,1.3867583224859514,1.2751340054645042,1
1.2240251865043945,1.174294016366324,1.2751340054645042,1
0.2062752048493718,0.1810984777064963,0.19127010081967566,0
4.510497285478876,4.832444828881238,5.100536021858017,0
0.35598149349312924,0.3128554716553464,0.41385928247532155,0
1.7336371170673595,1.6995607762788356,1.6554371299012862,1
1.6784894869804656,1.6348275512722301,1.6554371299012862,1
1.6051826946159484,1.8579161334760268,1.5301608065574053,1
0.842657371242686,0.8407051726425837,0.7650804032787026,1
0.8018836541562138,0.6845866603492337,0.8277185649506431,1
3.4394035030337595,4.1941934896597175,3.3108742598025724,1
1.6344914817617833,1.5205896123779021,1.6554371299012862,1
0.38806018246358925,0.37863126267438163,0.3825402016393513,0
6.432435045423645,4.832577999197456,6.621748519605145,0
3.0837084055685597,3.386335100172219,2.5502680109290083,1
1.347544574390767,1.3177837287143526,1.2751340054645042,1
2.3886239457959073,4.043592810923043,3.0603216131148105,1
6.328583273092333,4.832577999197456,6.621748519605145,0
0.7306079399574902,0.6988993987757391,0.6375670027322521,0
1.111359081570113,1.3361150992141406,0.7650804032787026,1
4.611420287308896,4.7757550353688725,3.3108742598025724,1
0.20621434525995766,0.18646619336902118,0.19127010081967566,0
0.8463132247355859,0.7898915131645298,0.8277185649506431,1
1.4760726419263437,1.3728777039741535,1.2751340054645042,1
1.491465675425327,1.3665910906077512,1.2751340054645042,1
1.5097186163116625,1.3746934329934781,1.2751340054645042,1
1.5551445850947785,1.4018478894987085,1.2751340054645042,1
1.5832104720760138,1.4370270984210674,1.2751340054645042,1
1.6128818885203624,1.460862482384501,1.2751340054645042,1
1.5587444214875215,1.4246098645872753,1.2751340054645042,1
1.513436583405787,1.3646478421874404,1.2751340054645042,1
1.5527220421561903,1.3947217096839246,1.2751340054645042,1
1.6008367701819255,1.4366152982677316,1.2751340054645042,1
1.6183809157133997,1.4488920443000797,1.2751340054645042,1
1.609114992980934,1.4499530325200207,1.2751340054645042,1
1.5873671834044416,1.4440025140028712,1.2751340054645042,1
1.551257145821633,1.3898612867182178,1.2751340054645042,1
1.5902417722115372,1.4287210989821009,1.2751340054645042,1
1.6149811126944662,1.450211232241783,1.2751340054645042,1
1.5934717224758566,1.4274967153916525,1.2751340054645042,1
1.569290682793246,1.410115204647588,1.2751340054645042,1
1.6454638681168754,1.507712178113468,1.2751340054645042,1
1.5967418272462754,1.4505781956466557,1.2751340054645042,1
1.6099306980287993,1.4596916640271564,1.2751340054645042,1
1.5881502904217484,1.4373069290476466,1.2751340054645042,1
1.551407403810233,1.402621401965754,1.2751340054645042,1
1.5412261784837191,1.403848079053204,1.2751340054645042,1
1.693144781974416,1.5891299501987404,1.2751340054645042,1
1.6406197119826689,1.5165892794349607,1.2751340054645042,1
1.6148003622813938,1.490228806534255,1.2751340054645042,1
1.58082825561909,1.4525424806037939,1.2751340054645042,1
1.5537480101390844,1.427621780366409,1.2751340054645042,1
1.572157147048077,1.4770717981822612,1.2751340054645042,1
1.6384281281650936,1.6028103350700513,1.2751340054645042,1
1.6618685952276793,1.5861034760166275,1.2751340054645042,1
1.625230638500035,1.5326542085272865,1.2751340054645042,1
1.5848956105071859,1.4920553953791014,1.2751340054645042,1
1.542662673469539,1.4660653452139734,1.6554371299012862,1
1.542025332972158,1.5031775314416869,1.2751340054645042,1
